TE	Family
TE_00000392_INTLTRGypsy	36
TE_00000446_INTLTRGypsy	36
TE_00000589_INTLTRGypsy	36
TE_00000659_INTLTRGypsy	36
TE_00000357_INTLTRGypsy	37
TE_00000610_INTLTRGypsy	37
TE_00000181_INTLTRGypsy	38
TE_00000291_INTLTRGypsy	38
TE_00000448_INTLTRGypsy	38
TE_00000478_INTLTRGypsy	38
TE_00000561_INTLTRGypsy	38
TE_00000645_INTLTRGypsy	38
TE_00000225_INTLTRGypsy	39
TE_00000137_INTLTRGypsy	39
TE_00000358_INTLTRGypsy	39
TE_00000468_INTLTRGypsy	39
TE_00000280_INTLTRGypsy	40
TE_00000287_INTLTRGypsy	40
TE_00000406_INTLTRGypsy	40
